year,gainer,procedure,entity,area,pop,loser,c_a3_g,c_a3_l
1862,United Kingdom,Annexation,Bahrain,598,0,Bahrain,UKG,BAH
1862,France,Cession,Cochin China,22380,502116,Vietnam,FRN,DRV
1863,United States of America,Annexation,Honduras,5,0,Honduras,USA,HON
1863,France,Annexation,Cambodia,83861,1000000,Cambodia,FRN,CAM
1864,Greece,Cession,Slovenia,2608,234123,United Kingdom,GRC,UKG
1864,Germany,Cession,Denmark,9194,409907,Denmark,GMY,DEN
1864,Austria-Hungary,Cession,Denmark,8534,544419,Denmark,AUH,DEN
1864,Germany,Cession,Denmark,1046,50147,Denmark,GMY,DEN
1865,United Kingdom,Annexation,Bhutan,8889,0,Bhutan,UKG,BHU
1865,Dominican Republic,Independence,Dominican Republic,48734,200000,Spain,DOM,SPN
1866,Chile,Cession,Bolivia,42896,0,Bolivia,CHL,BOL
1866,Germany,Conquest,Hanover,38474,1923492,Hanover,GMY,HAN
1866,Germany,Annexation,Frankfurt,101,87518,Frankfurt,GMY,#N/A
1866,Germany,Annexation,Nassau,4709,457571,Nassau,GMY,#N/A
1866,Germany,Annexation,Hesse Electoral,9586,745063,Hesse Electoral,GMY,HSE
1866,Italy,Cession,Austria-Hungary,25145,2458989,Austria-Hungary,ITA,AUH
1866,Germany,Conquest,Austria-Hungary,8537,544419,Austria-Hungary,GMY,AUH
1867,Brazil,Cession,Bolivia,162500,0,Bolivia,BRA,BOL
1867,Thailand,Cession,Cambodia,35641,0,France,THI,FRN
1867,Germany,Unification,Anhalt Dessau,2383,181824,Anhalt Dessau,GMY,#N/A
1867,Germany,Unification,Brunswick,3691,282400,Brunswick,GMY,#N/A
1867,Germany,Unification,Bremen,192,98575,Bremen,GMY,#N/A
1867,Germany,Unification,Hamburg,352,229941,Hamburg,GMY,#N/A
1867,Germany,Unification,Lippe,1577,139287,Lippe,GMY,#N/A
1867,Germany,Unification,Mecklenburg Strelitz,2725,99060,Mecklenburg Strelitz,GMY,#N/A
1867,Germany,Unification,Oldenburg,6291,295242,Oldenburg,GMY,#N/A
1867,Germany,Unification,Saxe Weimar,9407,742907,Saxe Weimar,GMY,#N/A
1867,Germany,Unification,Schwartzburg Sonderhausen,1121,58604,Schwartzburg Sonderhausen,GMY,#N/A
1867,Germany,Unification,Saxony,14939,2337192,Saxony,GMY,SAX
1867,Germany,Unification,Schwartzburg Rodolstadt,329,49482,Schwartzburg Rodolstadt,GMY,#N/A
1867,Germany,Unification,Hesse Grand Ducal,8386,853315,Hesse Grand Ducal,GMY,HSG
1867,Germany,Unification,Mecklenburg Schwerin,13442,552612,Mecklenburg Schwerin,GMY,MEC
1867,United States of America,Cession,Alaska,1518775,54000,Russia,USA,RUS
1867,France,Conquest,Cochin China,33864,477000,Vietnam,FRN,DRV
1867,Luxembourg,Secession,Luxembourg,2567,203851,Netherlands,LUX,NTH
1868,United Kingdom,Annexation,Lesotho,21885,127700,Lesotho,UKG,LES
1868,Russia,Conquest,Tajikistan,156000,2000000,Tajikistan,RUS,TAJ
1870,Brazil,Cession,Paraguay,65000,0,Paraguay,BRA,PAR
1870,Italy,Unification,Papal States,11790,723161,Papal States,ITA,PAP
1871,United Kingdom,Cession,Ghana,27534,120000,Netherlands,UKG,NTH
1871,Germany,Cession,France,14452,1549459,France,GMY,FRN
1871,Germany,Unification,Bavaria,76073,4824421,Bavaria,GMY,BAV
1871,Germany,Unification,Baden,15311,1434970,Baden,GMY,BAD
1871,Germany,Unification,Wuerttemburg,50526,1778479,Wuerttemburg,GMY,WRT
1871,Turkey,Conquest,Asir,104338,0,Asir,TUR,#N/A
1871,Russia,Annexation,China,42900,0,China,RUS,CHN
1872,Turkey,Conquest,Yemen Arab Republic,195000,2000000,Yemen Arab Republic,TUR,YAR
1872,Turkey,Annexation,Qatar,11000,22500,Qatar,TUR,QAT
1873,Russia,Conquest,Kyrgyzstan,92463,110000,Kyrgyzstan,RUS,KYR
1874,Argentina,Cession,Paraguay,117000,0,Paraguay,ARG,PAR
1874,France,Conquest,Cochin China,33864,477000,Vietnam,FRN,DRV
1874,United Kingdom,Annexation,Fiji,18272,148040,Fiji,UKG,FIJ
1875,Portugal,Cession,Mozambique,650,0,United Kingdom,POR,UKG
1875,Japan,Cession,Russia,4973,72,Russia,JPN,RUS
1875,Turkey,Conquest,Al Hasa,107120,0,Al Hasa,TUR,#N/A
1875,Russia,Cession,Japan,32348,2358,Japan,RUS,JPN
1876,Russia,Conquest,Turkmenistan,728000,0,Turkmenistan,RUS,TKM
1877,United Kingdom,Annexation,Transvaal,285363,815000,Transvaal,UKG,#N/A
1878,Montenegro,Secession,Montenegro,4584,195585,Turkey,MNG,TUR
1878,Paraguay,Cession,Argentina,1,10,Argentina,PAR,ARG
1878,Russia,Cession,Romania,9274,127000,Romania,RUS,ROM
1878,Austria-Hungary,Mandated territory,Bosnia and Herzegovina,42520,862202,Turkey,AUH,TUR
1878,Russia,Cession,Turkey,25769,236600,Turkey,RUS,TUR
1878,Austria-Hungary,Mandated territory,Herzegovina,20280,349970,Turkey,AUH,TUR
1878,Romania,Cession,Turkey,15372,357000,Turkey,ROM,TUR
1878,Yugoslavia,Cession,Turkey,11097,222732,Turkey,YUG,TUR
1878,United Kingdom,Cession,Cyprus,9251,186084,Turkey,UKG,TUR
1878,Montenegro,Cession,Turkey,4610,100000,Turkey,MNG,TUR
1878,Austria-Hungary,Cession,Albania,35,2000,Turkey,AUH,TUR
1878,Romania,Secession,Romania,118213,5073000,Turkey,ROM,TUR
1878,Yugoslavia,Secession,Yugoslavia,42994,1352522,Turkey,YUG,TUR
1879,Egypt,Conquest,Ethiopia,468000,325000,Ethiopia,EGY,ETH
1880,Transvaal,Independence,Transvaal,285363,815000,United Kingdom,#N/A,UKG
1880,Turkey,Cession,Montenegro,1,200,Montenegro,TUR,MNG
1880,Montenegro,Cession,Turkey,520,0,Turkey,MNG,TUR
1881,Argentina,Cession,Chile,1,10,Chile,ARG,CHL
1881,Chile,Cession,Argentina,1,0,Argentina,CHL,ARG
1881,China,Cession,Russia,42900,0,Russia,CHN,RUS
1881,France,Conquest,Tunisia,116348,2100000,Tunisia,FRN,TUN
1881,Greece,Cession,Turkey,13364,293000,Turkey,GRC,TUR
1882,United Kingdom,Conquest,Egypt,1021081,6806381,Egypt,UKG,EGY
1883,Chile,Conquest,Peru,51480,20000,Peru,CHL,PER
1883,France,Annexation,Vietnam,90000,9000000,Vietnam,FRN,DRV
1884,Sudan,Independence,Sudan,2658063,11000000,United Kingdom,SUD,UKG
1884,Chile,Conquest,Bolivia,50215,14000,Bolivia,CHL,BOL
1884,United Kingdom,Cession,Transvaal,19500,0,Transvaal,UKG,#N/A
1884,Ethiopia,Cession,Ethiopia,468000,0,Egypt,ETH,EGY
1885,Portugal,Cession,Democratic Republic of the Congo,7298,0,Belgium,POR,BEL
1885,France,Cession,Madagascar,250,12237,Madagascar,FRN,MAG
1886,Portugal,Cession,Mozambique,6000,0,Zanzibar,POR,ZAN
1886,United Kingdom,Conquest,Myanmar,492000,4000000,Myanmar,UKG,MYA
1887,United Kingdom,Cession,Kenya,7020,0,Zanzibar,UKG,ZAN
1887,United Kingdom,Annexation,Maldives,298,30000,Maldives,UKG,MAD
1888,Germany,Cession,Tanzania,52000,0,Zanzibar,GMY,ZAN
1888,United Kingdom,Annexation,Brunei,5765,45000,Brunei,UKG,BRU
1889,Italy,Conquest,Somalia,259000,400000,Zanzibar,ITA,ZAN
1889,United Kingdom,Cession,Somalia,10000,0,Zanzibar,UKG,ZAN
1889,United Kingdom,Annexation,Federated Malay States,7334,0,Federated Malay States,UKG,#N/A
1890,Germany,Cession,Namibia,18200,0,United Kingdom,GMY,UKG
1890,Germany,Cession,Heligoland,2,2001,United Kingdom,GMY,UKG
1890,United Kingdom,Cession,Kenya,3120,0,Germany,UKG,GMY
1890,United Kingdom,Annexation,Zanzibar,2642,150000,Zanzibar,UKG,ZAN
1890,United Kingdom,Annexation,Swaziland,17363,55000,Swaziland,UKG,SWA
1890,United Kingdom,Cession,Sikkim,7298,30458,Sikkim,UKG,#N/A
1891,Portugal,Cession,Democratic Republic of the Congo,1,0,Belgium,POR,BEL
1891,Belgium,Cession,Angola,1,0,Portugal,BEL,POR
1892,Italy,Cession,Somalia,10000,0,United Kingdom,ITA,UKG
1892,United Kingdom,Cession,United Arab Emirates,92100,0,United Arab Emirates,UKG,UAE
1893,Transvaal,Cession,Swaziland,17363,55000,United Kingdom,#N/A,UKG
1893,United Kingdom,Cession,Afghanistan,104980,0,Afghanistan,UKG,AFG
1893,France,Conquest,Laos,255000,600000,Laos,FRN,LAO
1894,France,Cession,Democratic Republic of the Congo,1,0,Belgium,FRN,BEL
1895,Brazil,Cession,Paraguay,13000,0,Paraguay,BRA,PAR
1895,Russia,Cession,Manchukuo,26000,0,Afghanistan,RUS,AFG
1895,Japan,Conquest,Taiwan,35763,2781272,China,JPN,CHN
1896,France,Conquest,Madagascar,590000,3500000,Madagascar,FRN,MAG
1897,Mexico,Conquest,French Polynesia,5,0,France,MEX,FRN
1897,United Kingdom,Cession,Sudan,1,0,Italy,UKG,ITA
1897,Turkey,Cession,Greece,1,200,Greece,TUR,GRC
1897,United Kingdom,Cession,Ethiopia,20720,0,Ethiopia,UKG,ETH
1898,United States of America,Annexation,Hawaii,16638,109020,Hawaii,USA,#N/A
1898,France,Cession,French West Africa,13000,0,United Kingdom,FRN,UKG
1898,United Kingdom,Cession,Nigeria,71500,0,France,UKG,FRN
1898,United States of America,Cession,Philippines,299404,7000000,Spain,USA,SPN
1898,United States of America,Cession,Cuba,114525,1572797,Spain,USA,SPN
1898,United States of America,Cession,Puerto Rico,8860,953243,Spain,USA,SPN
1898,United States of America,Cession,Guam,541,9000,Spain,USA,SPN
1898,United Kingdom,Conquest,Crete,8614,294190,Turkey,UKG,TUR
1898,Russia,Cession,China,3170,250000,China,RUS,CHN
1898,United Kingdom,Cession,Hong Kong,953,100000,China,UKG,CHN
1898,United Kingdom,Cession,China,738,150000,China,UKG,CHN
1899,United Kingdom,Cession,Venezuela,155400,0,Venezuela,UKG,VEN
1899,Venezuela,Cession,Guyana,1,0,United Kingdom,VEN,UKG
1899,Germany,Cession,Ghana,1,0,United Kingdom,GMY,UKG
1899,Germany,Cession,U. S. Pacific Trust Territories,405,15069,Spain,GMY,SPN
1899,United Kingdom,Cession,Solomon Islands,23310,89000,Germany,UKG,GMY
1899,United Kingdom,Cession,German Togoland,1,0,Germany,UKG,GMY
1899,United Kingdom,Conquest,Sudan,2505823,2000000,Sudan,UKG,SUD
1899,United Kingdom,Annexation,Kuwait,15540,50000,Kuwait,UKG,KUW
1899,Germany,Cession,Samoa,2823,33000,Samoa,GMY,WSM
1899,United States of America,Cession,American Samoa,195,4000,Samoa,USA,WSM
1900,Russia,Conquest,Manchukuo,939280,5530000,China,RUS,CHN
1900,United Kingdom,Annexation,Tonga,700,26000,Tonga,UKG,TON
1902,Argentina,Cession,Chile,20470,0,Chile,ARG,CHL
1902,Chile,Cession,Argentina,27708,0,Argentina,CHL,ARG
1902,United Kingdom,Cession,Ethiopia,292500,0,Ethiopia,UKG,ETH
1902,United Kingdom,Conquest,Transvaal,286065,1000000,Transvaal,UKG,#N/A
1902,United Kingdom,Conquest,Orange Free State,129153,200000,Orange Free State,UKG,#N/A
1902,Cuba,Independence,Cuba,114525,1572797,United States of America,CUB,USA
1903,United States of America,Cession,Panama Canal Zone,1678,21650,Panama,USA,PAN
1903,Bolivia,Cession,Brazil,3108,0,Brazil,BOL,BRA
1903,Brazil,Cession,Bolivia,191000,70000,Bolivia,BRA,BOL
1903,United States of America,Cession,Canada,1,0,United Kingdom,USA,UKG
1903,France,Conquest,Morocco,499870,62000,Morocco,FRN,MOR
1903,Panama,Secession,Panama,75690,400000,Colombia,PAN,COL
1904,Brazil,Cession,Ecuador,67600,0,Ecuador,BRA,ECU
1904,France,Cession,Guinea,16,0,United Kingdom,FRN,UKG
1904,France,Cession,French West Africa,1,0,United Kingdom,FRN,UKG
1904,France,Cession,Senegal,1,0,United Kingdom,FRN,UKG
1904,Thailand,Cession,French Indochina,6076,0,France,THI,FRN
1904,France,Cession,Thailand,20720,0,Thailand,FRN,THI
1905,China,Cession,Manchukuo,939280,5530000,Russia,CHN,RUS
1905,Japan,Cession,Southern Sakhalin I.,32348,9824,Russia,JPN,RUS
1905,Japan,Cession,China,3253,405680,Russia,JPN,RUS
1905,Japan,Conquest,Korea,220891,5713244,Korea,JPN,KOR
1905,Norway,Secession,Norway,323917,2240032,Sweden,NOR,SWD
1906,Belgium,Cession,Sudan,38850,250000,United Kingdom,BEL,UKG
1906,United Kingdom,Cession,Israel,1,0,Turkey,UKG,TUR
1907,Brazil,Cession,Colombia,162500,0,Colombia,BRA,COL
1907,Brazil,Cession,Bolivia,65000,0,Bolivia,BRA,BOL
1907,Thailand,Cession,French Indochina,35641,0,France,THI,FRN
1907,France,Conquest,Morocco,100,0,Morocco,FRN,MOR
1907,France,Cession,Thailand,18130,0,Thailand,FRN,THI
1908,Bulgaria,Secession,Bulgaria,96345,4035575,Turkey,BUL,TUR
1909,Peru,Cession,Bolivia,26000,0,Bolivia,PER,BOL
1909,United Kingdom,Cession,,38195,450000,Thailand,UKG,THI
1910,Belgium,Cession,Uganda,1,0,United Kingdom,BEL,UKG
1910,United Kingdom,Cession,Democratic Republic of the Congo,38850,250000,Belgium,UKG,BEL
1910,Morocco,Cession,Morocco,100,0,France,MOR,FRN
1910,United Kingdom,Cession,Bhutan,46600,250000,Bhutan,UKG,BHU
1911,Liberia,Cession,Sierra Leone,800,0,United Kingdom,LBR,UKG
1911,Germany,Cession,Kamerun,259000,1000000,France,GMY,FRN
1911,United Kingdom,Cession,Liberia,800,0,Liberia,UKG,LBR
1912,France,Annexation,Morocco,398523,5400000,Morocco,FRN,MOR
1912,Spain,Annexation,Spanish Morocco,26000,600000,Morocco,SPN,MOR
1912,Italy,Conquest,Libya,1051539,523176,Turkey,ITA,TUR
1912,Italy,Conquest,Dodecanese Is. (Aegean Is.),2681,100198,Turkey,ITA,TUR
1912,Albania,Secession,Albania,28748,825000,Turkey,ALB,TUR
1913,Greece,Annexation,Crete,8715,342151,United Kingdom,GRC,UKG
1913,Yugoslavia,Cession,Bulgaria,27625,1000000,Bulgaria,YUG,BUL
1913,Greece,Cession,Bulgaria,19110,1703000,Bulgaria,GRC,BUL
1913,Romania,Cession,Bulgaria,6959,286000,Bulgaria,ROM,BUL
1913,Saudi Arabia,Conquest,Al Hasa,107120,0,Turkey,SAU,TUR
1913,Bulgaria,Cession,Turkey,68250,0,Turkey,BUL,TUR
1913,Greece,Cession,Turkey,24354,1500000,Turkey,GRC,TUR
1913,Yugoslavia,Cession,Turkey,7020,0,Turkey,YUG,TUR
1913,Montenegro,Cession,Turkey,5200,0,Turkey,MNG,TUR
1913,Greece,Cession,Turkey,3771,3000000,Turkey,GRC,TUR
1914,Asir,Secession,Asir,104338,0,Turkey,#N/A,TUR
1914,Japan,Cession,China,518,168900,Germany,JPN,GMY
1914,Italy,Conquest,Albania,5,0,Albania,ITA,ALB
1914,Albania,Cession,Greece,1,0,Greece,ALB,GRC
1915,Qatar,Secession,Qatar,11000,0,Turkey,QAT,TUR
1915,United Kingdom,Annexation,Yemen Arab Republic,182,0,Yemen Arab Republic,UKG,YAR
1916,United States of America,Cession,Nicaragua,10,0,Nicaragua,USA,NIC
1916,Spain,Cession,Spanish Morocco,33020,9836,France,SPN,FRN
1916,United Kingdom,Annexation,Qatar,22014,25000,Qatar,UKG,QAT
1917,United States of America,Cession,Virgin Islands,342,26051,Denmark,USA,DEN
1917,Finland,Secession,Finland,325534,3105000,Russia,FIN,RUS
1918,Ukraine,Secession,Ukraine,444595,0,Russia,UKR,RUS
1918,Azerbaijan,Secession,Azerbaijan,84984,2096973,Russia,AZE,RUS
1918,Georgia,Secession,Georgia,66976,2372403,Russia,GRG,RUS
1918,Armenia,Secession,Armenia,31057,1214391,Russia,ARM,RUS
1918,Romania,Cession,Romania,45632,2686600,Russia,ROM,RUS
1918,Czechoslovakia,Cession,Czechoslovakia,140968,13600000,Austria,CZE,AUS
1918,Poland,Secession,Poland,263180,15400000,Russia,POL,RUS
1918,Lithuania,Secession,Lithuania,154491,2029000,Russia,LIT,RUS
1918,Latvia,Secession,Latvia,63300,1596000,Russia,LAT,RUS
1918,Estonia,Secession,Estonia,59984,1107000,Russia,EST,RUS
1918,Yemen Arab Republic,Secession,Yemen Arab Republic,195000,1000000,Turkey,YAR,TUR
1919,Danzig,Cession,Danzig,2056,330252,Germany,#N/A,GMY
1919,Italy,Cession,Tunisia,1,0,France,ITA,FRN
1919,South Africa,Mandated territory,Namibia,822907,206000,Germany,SAF,GMY
1919,France,Mandated territory,Cameroon,432012,1500000,Germany,FRN,GMY
1919,Poland,Cession,Germany,420000,2700000,Germany,POL,GMY
1919,France,Cession,French Equatorial Africa,259000,0,Germany,FRN,GMY
1919,United Kingdom,Mandated territory,British Cameroons,80290,550000,Germany,UKG,GMY
1919,France,Mandated territory,Togo,56600,500000,Germany,FRN,GMY
1919,United Kingdom,Mandated territory,British Togoland,32634,188000,Germany,UKG,GMY
1919,France,Cession,Germany,14514,1874014,Germany,FRN,GMY
1919,France,Cession,Saar,1945,657870,Germany,FRN,GMY
1919,Portugal,Cession,Mozambique,1040,0,Germany,POR,GMY
1919,Belgium,Cession,Germany,1000,61000,Germany,BEL,GMY
1919,Australia,Mandated territory,Nauru,21,2120,Germany,AUL,GMY
1919,Luxembourg,Cession,Germany,3,0,Germany,LUX,GMY
1919,Poland,Cession,Austria-Hungary,80080,8257505,Austria,POL,AUS
1919,Yugoslavia,Cession,Austria-Hungary,53636,1931802,Austria,YUG,AUS
1919,Italy,Cession,Austria,18941,1178786,Austria,ITA,AUS
1919,Italy,Cession,Trieste,96,229510,Austria,ITA,AUS
1919,Greece,Cession,Bulgaria,6400,320000,Bulgaria,GRC,BUL
1919,Yugoslavia,Cession,Bulgaria,2500,112500,Bulgaria,YUG,BUL
1919,Hungary,Cession,Hungary,91075,7990000,Austria,HUN,AUS
1920,Newfoundland,Independence,Newfoundland,421481,265000,United Kingdom,#N/A,UKG
1920,Hejaz Sultanate,Secession,Hejaz Sultanate,259000,750000,Turkey,#N/A,TUR
1920,United Kingdom,Mandated territory,Tanzania,939361,5000000,Germany,UKG,GMY
1920,Australia,Mandated territory,New Guinea (German New Guinea) (Kaiser Wilhelmsland),240870,400000,Germany,AUL,GMY
1920,Denmark,Cession,Germany,3800,160000,Germany,DEN,GMY
1920,New Zealand,Mandated territory,Samoa,2823,41828,Germany,NEW,GMY
1920,Japan,Mandated territory,U. S. Pacific Trust Territories,2476,70500,Germany,JPN,GMY
1920,Czechoslovakia,Cession,Poland,528,113500,Poland,CZE,POL
1920,Romania,Cession,Hungary,108289,5200000,Hungary,ROM,HUN
1920,Yugoslavia,Cession,Hungary,71540,4095258,Hungary,YUG,HUN
1920,Czechoslovakia,Cession,Hungary,53320,2940374,Hungary,CZE,HUN
1920,Poland,Cession,Czechoslovakia,1009,145241,Czechoslovakia,POL,CZE
1920,Yugoslavia,Cession,Trieste,1,1000,Italy,YUG,ITA
1920,Italy,Cession,Trieste,5271,404309,Yugoslavia,ITA,YUG
1920,Austria,Cession,Yugoslavia,5055,392431,Yugoslavia,AUS,YUG
1920,Poland,Cession,Lithuania,29818,2075700,Lithuania,POL,LIT
1920,Russia,Conquest,Ukraine,444595,0,Ukraine,RUS,UKR
1920,Russia,Conquest,Armenia,31057,1214391,Armenia,RUS,ARM
1920,Russia,Conquest,Georgia,66976,2372403,Georgia,RUS,GRG
1920,Russia,Conquest,Azerbaijan,84984,2096973,Azerbaijan,RUS,AZE
1920,United Kingdom,Mandated territory,Iraq,280031,2849282,Turkey,UKG,TUR
1920,France,Mandated territory,Syria,184920,1969004,Turkey,FRN,TUR
1920,United Kingdom,Mandated territory,Jordan,89484,200000,Turkey,UKG,TUR
1920,United Kingdom,Mandated territory,Israel,23310,757182,Turkey,UKG,TUR
1920,Canada,Independence,Canada,9571661,9235000,United Kingdom,CAN,UKG
1920,Australia,Independence,Australia,7695094,5426008,United Kingdom,AUL,UKG
1920,South Africa,Independence,South Africa,1223409,6930727,United Kingdom,SAF,UKG
1920,New Zealand,Independence,New Zealand,268676,1268046,United Kingdom,NEW,UKG
1921,Costa Rica,Annexation,Panama,1,100,Panama,COS,PAN
1921,Hungary,Cession,Austria,225,39525,Austria,HUN,AUS
1921,Poland,Cession,Russia,113722,3683568,Russia,POL,RUS
1921,Finland,Cession,Sweden,1422,27123,Sweden,FIN,SWD
1921,Russia,Cession,Turkey,6975,186000,Turkey,RUS,TUR
1921,Mongolia,Secession,Mongolia,1531000,2400000,China,MON,CHN
1922,Colombia,Cession,Venezuela,1,100,Venezuela,COL,VEN
1922,Poland,Cession,Germany,3221,893074,Germany,POL,GMY
1922,Germany,Cession,Germany,9702,1299127,Poland,GMY,POL
1922,China,Cession,China,552,192000,Japan,CHN,JPN
1922,Egypt,Independence,Egypt,994300,12800000,United Kingdom,EGY,UKG
1922,Ireland,Independence,Ireland,68891,3165000,United Kingdom,IRE,UKG
1924,Italy,Cession,Kenya,85470,12000,United Kingdom,ITA,UKG
1924,Belgium,Mandated territory,Rwanda-Urundi,54222,3000000,Germany,BEL,GMY
1924,Yugoslavia,Cession,Italy,1,0,Italy,YUG,ITA
1924,Italy,Cession,Yugoslavia,17,49806,Yugoslavia,ITA,YUG
1925,Egypt,Cession,Libya,1,0,Italy,EGY,ITA
1925,Italy,Cession,Egypt,400,0,Egypt,ITA,EGY
